# g(r) from Yarnell et al. Structure Factor and Radial Distribution Function for Liquid Argon at 85 K.
# DOI: 10.1103/PhysRevA.7.2130
# r     g(r)
 0.0681 -0.0789
 0.1362 -0.0545
 0.2043 -0.0263
 0.2724 -0.0062
 0.3405 -0.0008
 0.4086 -0.0088
 0.4767 -0.0222
 0.5448 -0.0313
 0.6129 -0.0305
 0.6810 -0.0206
 0.7491 -0.0082
 0.8172 -0.0010
 0.8853 -0.0031
 0.9534 -0.0123
 1.0215 -0.0222
 1.0896 -0.0259
 1.1577 -0.0203
 1.2258 -0.0085
 1.2939 -0.0026
 1.3620 -0.0065
 1.4301 -0.0011
 1.4982 -0.0095
 1.5663 -0.0180
 1.6344 -0.0180
 1.7025 -0.0086
 1.7706  0.0053 
 1.8387  0.0155 
 1.9068  0.0157 
 1.9749  0.0058 
 2.0430 -0.0076
 2.1111 -0.0153
 2.1792 -0.0111
 2.2473  0.0038 
 2.3154  0.0210 
 2.3835  0.0295 
 2.4516  0.0232 
 2.5197  0.0052 
 2.5878 -0.0128
 2.6559 -0.0176
 2.7240 -0.0030
 2.7921  0.0241 
 2.8602  0.0455 
 2.9283  0.0427 
 2.9964  0.0112 
 3.0645 -0.0279
 3.1326 -0.0276
 3.2007  0.0721 
 3.2688  0.3212 
 3.3369  0.7356 
 3.4050  1.2831 
 3.4731  1.8857 
 3.5412  2.4408 
 3.6093  2.8510 
 3.6774  3.0542 
 3.7455  3.0403 
 3.8136  2.8497 
 3.8817  2.5549 
 3.9498  2.2343 
 4.0179  1.9474 
 4.0860  1.7218 
 4.1541  1.5545 
 4.2222  1.4240 
 4.2903  1.3059 
 4.3584  1.1856 
 4.4265  1.0624 
 4.4946  0.9458 
 4.5627  0.8471 
 4.6308  0.7730 
 4.6989  0.7219 
 4.7670  0.6862 
 4.8351  0.6571 
 4.9032  0.6293 
 4.9713  0.6023 
 5.0394  0.5796 
 5.1075  0.5651 
 5.1756  0.5604 
 5.2437  0.5640 
 5.3118  0.5725 
 5.3799  0.5829 
 5.4480  0.5945 
 5.5161  0.6091 
 5.5842  0.6294 
 5.6523  0.6569 
 5.7204  0.6911 
 5.7885  0.7291 
 5.8566  0.7675 
 5.9247  0.8043 
 5.9928  0.8395 
 6.0609  0.8751 
 6.1290  0.9137 
 6.1971  0.9569 
 6.2652  1.0038 
 6.3333  1.0520 
 6.4014  1.0983 
 6.4695  1.1398 
 6.5376  1.1753 
 6.6057  1.2048 
 6.6738  1.2287 
 6.7419  1.2475 
 6.8100  1.2608 
 6.8781  1.2685 
 6.9462  1.2706 
 7.0143  1.2679 
 7.0824  1.2618 
 7.1505  1.2536 
 7.2186  1.2435 
 7.2867  1.2304 
 7.3548  1.2128 
 7.4229  1.1891 
 7.4910  1.1594 
 7.5591  1.1254 
 7.6272  1.0899 
 7.6953  1.0561 
 7.7634  1.0255 
 7.8315  0.9982 
 7.8996  0.9726 
 7.9677  0.9470 
 8.0358  0.9206 
 8.1039  0.8942 
 8.1720  0.8698 
 8.2401  0.8499 
 8.3082  0.8360 
 8.3763  0.8280 
 8.4444  0.8247 
 8.5125  0.8244 
 8.5806  0.8259 
 8.6487  0.8293 
 8.7168  0.8355 
 8.7849  0.8452 
 8.8530  0.8590 
 8.9211  0.8757 
 8.9892  0.8937 
 9.0573  0.9113 
 9.1254  0.9276 
 9.1935  0.9431 
 9.2616  0.9587 
 9.3297  0.9757 
 9.3978  0.9943 
 9.4659  1.0138 
 9.5340  1.0326 
 9.6021  1.0492 
 9.6702  1.0628 
 9.7383  1.0738 
 9.8064  1.0830 
 9.8745  1.0913 
 9.9426  1.0988 
10.0107  1.1048 
10.0977  1.1082 
10.1469  1.1079 
10.2150  1.1041 
10.2831  1.0977 
10.3512  1.0904 
10.4193  1.0835 
10.4874  1.0774 
10.5555  1.0716 
10.6236  1.0648 
10.6917  1.0559 
10.7598  1.0448 
10.8279  1.0322 
10.8960  1.0196 
10.9641  1.0083 
11.0322  0.9986 
11.1003  0.9901 
11.1684  0.9818 
11.2365  0.9727 
11.3046  0.9628 
11.3727  0.9527 
11.4408  0.9438 
11.5089  0.9375 
11.5770  0.9342 
11.6451  0.9335 
11.7132  0.9347 
11.7813  0.9364 
11.8494  0.9381 
11.9175  0.9398 
11.9856  0.9419 
12.0537  0.9448 
