 17-Oct-2007       (100_inc - 0.008 *add.dat) /  1.0000                       
100_inc.dat   Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1
 Web\add.dat  Conc = .10E+01  Mult = .81E-02  N1 =    1  N2 =  182  SCALE =  1
  0.102600E-01  0.518900E+00  0.857337E-02
  0.113400E-01  0.515940E+00  0.787129E-02
  0.124100E-01  0.513050E+00  0.643103E-02
  0.134900E-01  0.503640E+00  0.661120E-02
  0.145700E-01  0.506680E+00  0.611779E-02
  0.156500E-01  0.508210E+00  0.622148E-02
  0.167300E-01  0.503490E+00  0.526143E-02
  0.178100E-01  0.503600E+00  0.525145E-02
  0.188900E-01  0.491380E+00  0.517037E-02
  0.199700E-01  0.485770E+00  0.501189E-02
  0.210500E-01  0.480520E+00  0.502121E-02
  0.221300E-01  0.475760E+00  0.411684E-02
  0.232100E-01  0.467060E+00  0.438686E-02
  0.242900E-01  0.471960E+00  0.431641E-02
  0.253600E-01  0.463760E+00  0.393525E-02
  0.264400E-01  0.456080E+00  0.396775E-02
  0.275200E-01  0.452940E+00  0.374633E-02
  0.286000E-01  0.451820E+00  0.379268E-02
  0.296800E-01  0.444190E+00  0.334982E-02
  0.307600E-01  0.437810E+00  0.359103E-02
  0.318400E-01  0.436560E+00  0.347266E-02
  0.329200E-01  0.422950E+00  0.331728E-02
  0.339900E-01  0.417440E+00  0.306510E-02
  0.350700E-01  0.415230E+00  0.307314E-02
  0.361500E-01  0.407350E+00  0.304935E-02
  0.372300E-01  0.397970E+00  0.298447E-02
  0.383100E-01  0.391720E+00  0.302407E-02
  0.393900E-01  0.388750E+00  0.295679E-02
  0.404600E-01  0.381840E+00  0.284903E-02
  0.415400E-01  0.371050E+00  0.268478E-02
  0.425900E-01  0.366320E+00  0.222860E-02
  0.426200E-01  0.365940E+00  0.269634E-02
  0.437000E-01  0.360080E+00  0.255267E-02
  0.447700E-01  0.352200E+00  0.258358E-02
  0.458500E-01  0.344020E+00  0.265800E-02
  0.466400E-01  0.339860E+00  0.215042E-02
  0.469300E-01  0.338320E+00  0.247001E-02
  0.480100E-01  0.335210E+00  0.238618E-02
  0.490800E-01  0.322760E+00  0.244761E-02
  0.501600E-01  0.316120E+00  0.246946E-02
  0.506900E-01  0.315290E+00  0.207450E-02
  0.512400E-01  0.311680E+00  0.238556E-02
  0.523100E-01  0.305100E+00  0.238908E-02
  0.533900E-01  0.294930E+00  0.226525E-02
  0.544700E-01  0.289790E+00  0.231152E-02
  0.547400E-01  0.285340E+00  0.194857E-02
  0.555400E-01  0.281240E+00  0.211102E-02
  0.566200E-01  0.273330E+00  0.216878E-02
  0.577000E-01  0.266720E+00  0.221756E-02
  0.587700E-01  0.264270E+00  0.211806E-02
  0.587800E-01  0.262100E+00  0.190043E-02
  0.598500E-01  0.256960E+00  0.213266E-02
  0.609200E-01  0.250860E+00  0.214959E-02
  0.620000E-01  0.241270E+00  0.199820E-02
  0.628300E-01  0.236200E+00  0.168258E-02
  0.630700E-01  0.234530E+00  0.208292E-02
  0.641500E-01  0.228210E+00  0.207912E-02
  0.652300E-01  0.223600E+00  0.196435E-02
  0.663000E-01  0.213750E+00  0.209875E-02
  0.668700E-01  0.211290E+00  0.165109E-02
  0.673800E-01  0.210120E+00  0.210847E-02
  0.684500E-01  0.204520E+00  0.213639E-02
  0.695200E-01  0.198990E+00  0.225969E-02
  0.706000E-01  0.192920E+00  0.243820E-02
  0.709100E-01  0.189230E+00  0.140490E-02
  0.716700E-01  0.186920E+00  0.238978E-02
  0.727500E-01  0.180710E+00  0.249754E-02
  0.738200E-01  0.175060E+00  0.262359E-02
  0.749000E-01  0.168160E+00  0.267811E-02
  0.749500E-01  0.169870E+00  0.145663E-02
  0.759700E-01  0.162780E+00  0.275118E-02
  0.770400E-01  0.154450E+00  0.309967E-02
  0.781200E-01  0.152520E+00  0.338778E-02
  0.789800E-01  0.152140E+00  0.132886E-02
  0.830200E-01  0.134710E+00  0.113935E-02
  0.870500E-01  0.118150E+00  0.109461E-02
  0.910700E-01  0.103050E+00  0.111058E-02
  0.951000E-01  0.915500E-01  0.929362E-03
  0.991200E-01  0.801800E-01  0.859912E-03
  0.103100E+00  0.734500E-01  0.917574E-03
  0.107200E+00  0.658000E-01  0.842440E-03
  0.111200E+00  0.581800E-01  0.886656E-03
  0.115200E+00  0.523300E-01  0.774897E-03
  0.119200E+00  0.472500E-01  0.774117E-03
  0.123200E+00  0.427000E-01  0.781386E-03
  0.127200E+00  0.400000E-01  0.727776E-03
  0.131200E+00  0.375300E-01  0.762483E-03
  0.135200E+00  0.339100E-01  0.745483E-03
  0.139100E+00  0.305700E-01  0.673478E-03
  0.143100E+00  0.284500E-01  0.673508E-03
  0.147100E+00  0.273800E-01  0.650753E-03
  0.151100E+00  0.260600E-01  0.650206E-03
  0.155000E+00  0.239400E-01  0.620894E-03
  0.159000E+00  0.223200E-01  0.646987E-03
  0.163000E+00  0.206600E-01  0.691834E-03
  0.166900E+00  0.189500E-01  0.654179E-03
  0.170900E+00  0.177800E-01  0.626618E-03
  0.174800E+00  0.162600E-01  0.588000E-03
  0.178700E+00  0.149500E-01  0.560512E-03
  0.182700E+00  0.147400E-01  0.596078E-03
  0.186600E+00  0.135100E-01  0.535642E-03
  0.190500E+00  0.123900E-01  0.569536E-03
